cuisine,avg_score
Fruits/Vegetables,49.69444444
Creole,42.12290503
Indonesian,41.61111111
Filipino,40.32743363
Californian,36
Pakistani,35.17647059
Russian,35.06293706
African,34.88197425
Chinese/Japanese,33.33797909
Creole/Cajun,32.86206897
Southeast Asian,32.16171004
Bangladeshi,31.79019074
Eastern European,30.73563218
Greek,29
Ethiopian,28.83018868
Caribbean,28.62597247
Indian,28.22626695
Jewish/Kosher,28.1826087
Spanish,27.8001514
Portuguese,27.78947368
Asian/Asian Fusion,27.6866132
Middle Eastern,27.37032843
Latin American,27.32832149
Peruvian,27.28368794
Chinese,26.99555376
Vegan,26.82374101
New American,26.71014493
Mexican,26.24512764
Thai,25.82380319
Irish,25.24
French,25.0520362
Japanese,25.01216
Chicken,24.69418133
Chinese/Cuban,24.69230769
Mediterranean,24.69201521
Pizza,24.30454896
Fusion,24.29166667
Korean,24.20204842
Turkish,24.11295681
Soups,23.95555556
Australian,23.94339623
Bagels/Pretzels,23.62092131
Seafood,23.57927461
"Juice, Smoothies, Fruit Salads",23.510625
Hawaiian,23.35882353
Bakery Products/Desserts,23.32666667
Hotdogs,23.2967033
Moroccan,22.80769231
Vegetarian,22.47435897
Steakhouse,22.40753425
Iranian,22.30769231
American,22.30033722
Sandwiches,22.23903879
Barbecue,22.07480315
Italian,22.01965517
Southwestern,21.71428571
Frozen Desserts,21.56651584
Not Listed/Not Applicable,21.23076923
Coffee/Tea,20.83608059
Sandwiches/Salads/Mixed Buffet,20.73757455
Other,20.55694098
Soul Food,20.50753769
Brazilian,20.39393939
English,19.97142857
Tex-Mex,19.43432043
Pancakes/Waffles,18.55555556
Egyptian,18.38235294
Polish,17.62745098
Czech,17.5
Afghan,17.2739726
Tapas,17.09090909
Cajun,16.34782609
Continental,16.32926829
Donuts,15.3723548
Bottled Beverages,15.34513274
Hamburgers,15.27512924
Salads,14.47213115
Hotdogs/Pretzels,14.14285714
German,12.93478261
Scandinavian,12.8
Chilean,11.69230769
New French,11.2
Soups/Salads/Sandwiches,10.93975904
Lebanese,10.88888889
Nuts/Confectionary,7.4
Armenian,4.25
Grand Total,24.23741857
